rank_overall,rank_support,rank_lift,rank_support_lift,flavor_a,flavor_b,pair_key,pair_count,document_cooccurrence_count,same_sentence_cooccurrence_count,same_sentence_evidence_document_count,explicit_mix_count,support,lift,normalized_lift,adjusted_lift,confidence_factor,centrality_mean,smoothed_positive_ratio,smoothed_negative_ratio,smoothed_role_ratio,overall_score_v2,document_level_positive_ratio,document_level_negative_ratio,document_level_role_ratio,same_sentence_positive_ratio,same_sentence_negative_ratio,same_sentence_role_ratio,template_evidence_count,positive_evidence_count,negative_evidence_count,role_evidence_count,is_product_name_derived,has_explicit_mix_expression,excluded_as_product_name_pair,is_parent_child_pair,parent_child_reason,context_score_eligible,normalized_support,normalized_pair_count,normalized_centrality_mean,normalized_smoothed_positive_ratio,normalized_smoothed_negative_ratio,normalized_smoothed_role_ratio,support_log1p,pair_count_log1p,lift_clipped,evidence_rows_before_dedup,evidence_rows_after_dedup,evidence_duplicates_removed,frequency_a,frequency_b,centrality_a,centrality_b,centrality_max,centrality_geometric_mean,document_level_positive_count,document_level_negative_count,document_level_role_count,same_sentence_positive_count,same_sentence_negative_count,same_sentence_role_count,smoothed_positive_ratio_for_score,smoothed_negative_ratio_for_score,smoothed_role_ratio_for_score,support_lift_score,ranking_tier,excluded_reason
18,19,39,21,ライチ,レモン,ライチ||レモン,3,3,2,2,1,0.038461538461538464,1.828125,0.04537495729415771,0.027224974376494626,0.6,0.1251433090718805,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.1688135384857892,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,True,0.2049088246054759,0.2933049473885764,0.4414675425399367,0.19999999999999998,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,1.828125,567,509,58,8,16,0.015734265734265732,0.23455235240949526,0.23455235240949526,0.0607495600099963,1,0,0,0,0,0,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.11606689949098527,Tier1,other
8,20,41,22,バニラ,ミルク,バニラ||ミルク,3,3,2,2,0,0.038461538461538464,1.6363636363636365,0.03882349287200661,0.023294095723203963,0.6,0.1310573278979872,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.26096441702428114,0.3333333333333333,0.0,0.3333333333333333,0.5,0.0,0.0,0,1,0,0,False,False,False,False,,True,0.2049088246054759,0.2933049473885764,0.46235819721870125,0.7999999999999999,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,1.6363636363636365,567,509,58,13,11,0.19665432247849826,0.06546033331747617,0.19665432247849826,0.11345949716865901,1,0,1,1,0,0,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.11410146016433993,Tier1,other
7,21,44,23,ベリー,レモン,ベリー||レモン,3,3,2,2,0,0.038461538461538464,1.625,0.03843525794328653,0.023061154765971918,0.6,0.13535968000253715,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.26318582329691376,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0,1,0,0,False,False,False,False,,True,0.2049088246054759,0.2933049473885764,0.4775558072983055,0.7999999999999999,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,1.625,567,509,58,9,16,0.036167007595579025,0.23455235240949526,0.23455235240949526,0.09210351085140643,1,0,0,1,0,0,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.11398498968572392,Tier1,other
15,22,48,24,グアバ,レモン,グアバ||レモン,3,3,2,2,0,0.038461538461538464,1.21875,0.024555859241544176,0.014733515544926506,0.6,0.1912719606400925,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.20072955845777493,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,True,0.2049088246054759,0.2933049473885764,0.6750601070724551,0.19999999999999998,0.038709677419354833,0.0625,0.03774032798284703,1.3862943611198906,1.21875,567,509,58,12,16,0.1479915688706897,0.23455235240949526,0.23455235240949526,0.18631095141024884,0,0,0,0,0,0,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.1098211700752012,Tier1,other
19,23,49,25,ベリー,ミント,ベリー||ミント,3,3,1,1,0,0.038461538461538464,1.0833333333333333,0.019929393007630053,0.011957635804578032,0.6,0.18406781964474275,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.1619038908911224,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.2049088246054759,0.2933049473885764,0.6496122303889007,0.0,0.0,0.0,0.03774032798284703,1.3862943611198906,1.0833333333333333,567,509,58,9,24,0.036167007595579025,0.3319686316939065,0.3319686316939065,0.10957331802937928,2,0,0,0,0,0,0.0,0.0,0.0,0.10843323020502697,Tier2,other
16,24,51,26,グアバ,ミント,グアバ||ミント,3,3,1,1,0,0.038461538461538464,0.8125,0.010676460539801815,0.006405876323881089,0.6,0.2399801002822981,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.19014159598707056,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.2049088246054759,0.2933049473885764,0.8471165301630502,0.0,0.0,0.0,0.03774032798284703,1.3862943611198906,0.8125,567,509,58,12,24,0.1479915688706897,0.3319686316939065,0.3319686316939065,0.22164963031829624,1,0,0,0,0,0,0.0,0.0,0.0,0.1056573504646785,Tier2,other
33,27,4,27,ダブルアップル,ツーアップル,ダブルアップル||ツーアップル,2,2,1,1,0,0.02564102564102564,13.0,0.42705842159207263,0.17082336863682906,0.4,0.03267836152451535,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.059932556054569236,0.0,0.5,0.5,0.0,0.0,0.0,5,0,0,0,False,False,False,False,,False,0.0,0.0,0.11484475930241315,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,13.0,567,509,58,6,2,0.0653567230490307,0.0,0.0653567230490307,0.0,0,1,1,0,0,0,0.0,0.0,0.0,0.08541168431841453,Tier2,other
41,28,5,28,カルダモン,チェリー,カルダモン||チェリー,2,2,1,1,0,0.02564102564102564,9.75,0.31602323197813376,0.1264092927912535,0.4,0.00888000888000888,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.03621925730624309,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.03077956072286474,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,9.75,567,509,58,4,4,0.012987012987012988,0.004773004773004773,0.012987012987012988,0.00787318709126666,0,0,1,0,0,0,0.0,0.0,0.0,0.06320464639562676,Tier2,other
42,29,6,29,キウイ,ピーチ,キウイ||ピーチ,2,2,2,2,1,0.02564102564102564,8.666666666666666,0.27901150210682074,0.1116046008427283,0.4,0.0019425019425019423,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.028842181366540362,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,False,0.0,0.0,0.006273541039055233,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,8.666666666666666,567,509,58,3,6,0.0006105006105006105,0.003274503274503274,0.003274503274503274,0.001413890465407592,0,0,0,0,0,0,0.0,0.0,0.0,0.05580230042136415,Tier2,other
40,30,7,30,ゴールデンデリシャスアップル,ダブルアップル,ゴールデンデリシャスアップル||ダブルアップル,2,2,1,1,1,0.02564102564102564,8.666666666666666,0.27901150210682074,0.1116046008427283,0.4,0.03517586402201785,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.04645118916896976,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,False,0.0,0.0,0.12366692638858458,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,8.666666666666666,567,509,58,3,6,0.004995004995004996,0.0653567230490307,0.0653567230490307,0.018068125472418727,0,0,1,0,0,0,0.0,0.0,0.0,0.05580230042136415,Tier2,other
38,31,8,31,ジャスミン,ダブルアップル,ジャスミン||ダブルアップル,2,2,1,1,1,0.02564102564102564,8.666666666666666,0.27901150210682074,0.1116046008427283,0.4,0.04015421900037283,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.04908901712773502,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,False,0.0,0.0,0.14125244611368631,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,8.666666666666666,567,509,58,3,6,0.014951714951714956,0.0653567230490307,0.0653567230490307,0.031260119852733866,0,0,0,0,0,0,0.0,0.0,0.0,0.05580230042136415,Tier2,other
44,32,10,32,ココナッツ,ハニー,ココナッツ||ハニー,2,2,1,1,1,0.02564102564102564,6.5,0.20498804236419485,0.08199521694567795,0.4,0.014216796634379051,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.02794348526319478,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,False,0.0,0.0,0.04963120684516862,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,6.5,567,509,58,6,4,0.025025889861054695,0.0034077034077034073,0.025025889861054695,0.009234760969311888,0,0,0,0,0,0,0.0,0.0,0.0,0.040997608472838974,Tier2,other
46,33,11,33,シガー,チョコレート,シガー||チョコレート,2,2,1,1,0,0.02564102564102564,6.24,0.19610522719507975,0.0784420908780319,0.4,0.009831834831834831,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.024731790713030485,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.034141786623483404,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,6.24,567,509,58,5,5,0.000666000666000666,0.018997668997668995,0.018997668997668995,0.00355702968850525,1,0,0,0,0,0,0.0,0.0,0.0,0.03922104543901595,Tier2,other
48,34,13,34,ピーチ,マンゴー,ピーチ||マンゴー,2,2,2,2,0,0.02564102564102564,5.2,0.1605739665186193,0.06422958660744772,0.4,0.0043799911931780055,0.26666666666666666,0.006666666666666666,0.013333333333333332,0.018289954290379287,0.5,0.0,0.0,0.5,0.0,0.0,0,1,0,0,False,False,False,False,,False,0.0,0.0,0.014883717590115718,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,5.2,567,509,58,6,5,0.003274503274503274,0.005485479111852737,0.005485479111852737,0.004238185851750852,1,0,0,1,0,0,0.0,0.0,0.0,0.03211479330372386,Tier2,other
35,35,15,35,グアバ,ブルーベリー,グアバ||ブルーベリー,2,2,1,1,0,0.02564102564102564,4.333333333333333,0.13096458262156893,0.052385833048627574,0.4,0.07399578443534485,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.052215595219388934,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,False,False,False,False,,False,0.0,0.0,0.26079424638154697,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,4.333333333333333,567,509,58,12,3,0.1479915688706897,0.0,0.1479915688706897,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.026192916524313787,Tier2,other
34,36,16,36,グアバ,リコリス,グアバ||リコリス,2,2,1,1,0,0.02564102564102564,4.333333333333333,0.13096458262156893,0.052385833048627574,0.4,0.0751477866862482,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.0528259943892363,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.26486357418052936,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,4.333333333333333,567,509,58,12,3,0.1479915688706897,0.0023040045018066996,0.1479915688706897,0.018465460755353637,0,1,0,0,0,0,0.0,0.0,0.0,0.026192916524313787,Tier2,other
49,37,17,37,アイス,ライチ,アイス||ライチ,2,2,1,1,1,0.02564102564102564,3.9,0.11615989067304375,0.0464639562692175,0.4,0.0082001332001332,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.015872684686382088,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,False,0.0,0.0,0.028377970793851407,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,3.9,567,509,58,5,8,0.000666000666000666,0.015734265734265732,0.015734265734265732,0.003237133215987942,1,0,0,0,0,0,0.0,0.0,0.0,0.02323197813460875,Tier2,other
43,38,20,38,ハニー,ミルク,ハニー||ミルク,2,2,1,1,0,0.02564102564102564,3.5454545454545454,0.1040469608969777,0.04161878435879108,0.4,0.03443401836258979,0.08333333333333333,0.008333333333333333,0.016666666666666666,0.028561661185226357,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,False,False,False,,False,0.0,0.0,0.12104643397019059,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,3.5454545454545454,567,509,58,4,11,0.0034077034077034073,0.06546033331747617,0.06546033331747617,0.01493550805682098,1,0,0,0,0,0,0.0,0.0,0.0,0.02080939217939554,Tier2,other
37,39,23,39,グアバ,パイナップル,グアバ||パイナップル,2,2,2,2,1,0.02564102564102564,3.25,0.09395285275025597,0.03758114110010239,0.4,0.07931176475132518,0.06666666666666667,0.006666666666666666,0.013333333333333332,0.05133114413471471,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,False,True,False,False,,False,0.0,0.0,0.2795723923979274,0.0,0.0,0.0,0.025317807984289873,1.0986122886681096,3.25,567,509,58,12,4,0.1479915688706897,0.010631960631960632,0.1479915688706897,0.039666617376520316,0,0,0,0,0,0,0.0,0.0,0.0,0.018790570550051195,Tier2,other
